"ticker","year","quarter","start_price","end_price","quarterly_return_pct"
"AAPL","2022","1","182.01","176.28","-3.15"
"AAPL","2022","1","182.01","179.70","-1.27"
"AAPL","2022","1","182.01","163.17","-10.35"
"AAPL","2022","1","182.01","162.95","-10.47"
"AAPL","2022","1","182.01","174.61","-4.07"
"AAPL","2022","1","182.01","166.23","-8.67"
"AAPL","2022","1","182.01","174.92","-3.90"
"AAPL","2022","1","182.01","164.51","-9.61"
"AAPL","2022","1","182.01","174.78","-3.97"
"AAPL","2022","1","182.01","160.62","-11.75"
"AAPL","2022","1","182.01","172.17","-5.41"
"AAPL","2022","1","182.01","174.72","-4.01"
"AAPL","2022","1","182.01","168.88","-7.21"
"AAPL","2022","1","182.01","163.98","-9.91"
"AAPL","2022","1","182.01","155.09","-14.79"
"AAPL","2022","1","182.01","172.39","-5.29"
"AAPL","2022","1","182.01","154.73","-14.99"
"AAPL","2022","1","182.01","172.79","-5.07"
"AAPL","2022","1","182.01","161.62","-11.20"
"AAPL","2022","1","182.01","178.96","-1.68"
"AAPL","2022","1","182.01","167.30","-8.08"
"AAPL","2022","1","182.01","172.00","-5.50"
"AAPL","2022","1","182.01","174.83","-3.94"
"AAPL","2022","1","182.01","175.08","-3.81"
"AAPL","2022","2","174.31","167.66","-3.82"
"AAPL","2022","2","174.31","149.64","-14.15"
"AAPL","2022","2","174.31","178.44","2.37"
"AAPL","2022","2","174.31","166.02","-4.76"
"AAPL","2022","2","174.31","148.71","-14.69"
"AAPL","2022","2","174.31","130.06","-25.39"
"AAPL","2022","2","174.31","174.31","0.00"
"AAPL","2022","2","174.31","141.66","-18.73"
"AAPL","2022","2","174.31","135.87","-22.05"
"AAPL","2022","2","174.31","135.35","-22.35"
"AAPL","2022","2","174.31","165.75","-4.91"
"AAPL","2022","2","174.31","175.06","0.43"
"AAPL","2022","2","174.31","165.07","-5.30"
"AAPL","2022","2","174.31","147.11","-15.60"
"AAPL","2022","2","174.31","162.88","-6.56"
"AAPL","2022","2","174.31","159.48","-8.51"
"AAPL","2022","2","174.31","148.84","-14.61"
"AAPL","2022","2","174.31","131.88","-24.34"
"AAPL","2022","2","174.31","165.29","-5.17"
"AAPL","2022","2","174.31","137.35","-21.20"
"AAPL","2022","2","174.31","138.27","-20.68"
"AAPL","2022","2","174.31","136.72","-21.57"
"AAPL","2022","2","174.31","156.80","-10.05"
"AAPL","2022","2","174.31","156.77","-10.06"
"AAPL","2022","2","174.31","140.52","-19.39"
"AAPL","2022","2","174.31","170.40","-2.24"
"AAPL","2022","2","174.31","140.82","-19.21"
"AAPL","2022","2","174.31","157.28","-9.77"
"AAPL","2022","2","174.31","149.24","-14.38"
"AAPL","2022","2","174.31","143.78","-17.51"
"AAPL","2022","2","174.31","157.96","-9.38"
"AAPL","2022","2","174.31","145.54","-16.51"
"AAPL","2022","2","174.31","156.57","-10.18"
"AAPL","2022","2","174.31","135.43","-22.31"
"AAPL","2022","2","174.31","142.56","-18.21"
"AAPL","2022","2","174.31","137.44","-21.15"
"AAPL","2022","2","174.31","131.56","-24.53"
"AAPL","2022","2","174.31","137.59","-21.07"
"AAPL","2022","2","174.31","152.06","-12.76"
"AAPL","2022","2","174.31","139.23","-20.13"
"AAPL","2022","2","174.31","147.96","-15.12"
"AAPL","2022","2","174.31","145.38","-16.60"
"AAPL","2022","2","174.31","151.21","-13.25"
"AAPL","2022","2","174.31","146.50","-15.95"
"AAPL","2022","2","174.31","171.83","-1.42"
"AAPL","2022","2","174.31","132.76","-23.84"
"AAPL","2022","2","174.31","167.40","-3.96"
"AAPL","2022","2","174.31","161.79","-7.18"
"AAPL","2022","2","174.31","172.14","-1.24"
"AAPL","2022","2","174.31","143.11","-17.90"
"AAPL","2022","2","174.31","146.14","-16.16"
"AAPL","2022","2","174.31","137.13","-21.33"
"AAPL","2022","2","174.31","154.51","-11.36"
"AAPL","2022","2","174.31","142.64","-18.17"
"AAPL","2022","2","174.31","163.64","-6.12"
"AAPL","2022","2","174.31","167.23","-4.06"
"AAPL","2022","2","174.31","157.65","-9.56"
"AAPL","2022","2","174.31","170.09","-2.42"
"AAPL","2022","2","174.31","166.42","-4.53"
"AAPL","2022","2","174.31","140.36","-19.48"
"AAPL","2022","3","138.93","155.96","12.26"
"AAPL","2022","3","138.93","163.43","17.63"
"AAPL","2022","3","138.93","142.48","2.56"
